id,streamer,twitch,twitter,followers,views
1,Chakki,Chakki_HS,Chakki_HS,11348,355897
2,Amaz,amazhs,ArchonAmazHS,752535,66108195
3,asmodai,AsmodaiTV,coL_asmodai,45633,3602043
4,kibler,bmkibler,bmkibler,234432,10877234
5,Kripp,nl_Kripp,Kripparian,908537,151973314
6,LifeCoach,LifeCoach1981,LifeCoachHs,156365,6275592
7,Lothar,lotharhs,LotharHS,81685,2357210
8,Massan,massansc,MassanSc,291126,23869484
9,P4wnyhof,P4wnyhof,P4wnyhof,200654,14769686
10,Rdu,radu_hs,rduhearthstone,52391,2444432
11,Reynad,reynad27,TempoReynad,474133,70432912
12,Ryzen,ryzentv,RyzenTV,64582,3062432
13,Sjow,sjow,LiquidSjow,153833,15411033
14,StrifeCro,strifecro,StrifeCro,164387,7342235
15,Superdiogo,diogo_hs10,superdiogo_hs,445,11734
16,Thijs,ThijsHS,G2Thijs,204132,43042041
17,Trump,TrumpSC,TrumpSC,749729,89413729
18,Xixo,Xixo,XixoHS,55063,1949177
19,Zalae,ZalaeHS,ArchonZalae,61690,4320211
20,Alesh,Al3sh3k,AleshHS,24093,1203343
